id,product_name,price,category,availability,description,img_primary,img_secondary,url
p94,Delight â€“ Herbal Infusion â€“ 30g,10,mind & body care  herbal infusions,no,"An All-Day Indulgence
A 100% natural, flavorful blend of time-tested Ayurveda herbs, fruits & flowers, with a naturally sweet, light floral taste & exotic herbal aroma. Enriched with naturally anti-oxidant Cinnamon, Rose Petal, Licorice, help warm, refresh & delight the body & mind. Rich in natural anti-oxidants & cooling properties, to promote overall wellness & internal balance.",Delight â€“ Herbal Infusion â€“ 30g_primary.jpg,Delight â€“ Herbal Infusion â€“ 30g_secondary.jpg,https://store.spaceylon.com/product/delight-herbal-infusion-30g/
p95,Happy â€“ Herbal Infusion â€“ 30g,10,mind & body care  herbal infusions,no,"A Mid-Day Indulgence
A 100% natural, flavorful blend of time-tested Ayurveda herbs, fruits & flowers, with a naturally sweet, nutty taste & exotic herbal aroma. Enriched with naturally anti-oxidant Licorice, Peppermint, Lemongrass, help refresh, soothe & uplift the body & mind. Rich in natural anti-oxidants & cooling properties, to promote overall wellness & internal balance.",Happy â€“ Herbal Infusion â€“ 30g_primary.jpg,Happy â€“ Herbal Infusion â€“ 30g_secondary.jpg,https://store.spaceylon.com/product/happy-herbal-infusion-30g/
p96,Love â€“ Herbal Infusion â€“ 30g,10,mind & body care  herbal infusions,no,"An Evening Indulgence
A 100% natural, flavourful blend of time-tested Ayurveda herbs, fruits & flowers, with a naturally sweet, tangy taste & exotic herbal aroma. Enriched with naturally anti-oxidant Lemongrass, Licorice, Rosehip, Hibiscus, help uplift, comfort & energise the body & mind. Rich in natural anti-oxidants & cooling properties, to promote overall wellness & internal balance.",Love â€“ Herbal Infusion â€“ 30g_primary.jpg,Love â€“ Herbal Infusion â€“ 30g_secondary.jpg,https://store.spaceylon.com/product/love-herbal-infusion-30g/
p97,Neroli Jasmine â€“ No Age â€“ Serum Enriched Hand Cream â€“ 30g,6,mind & body care  hand creams & treatments,no,An easy-absorbent blend of rich fruit butters & Ayurveda WonderHerbs for intensive care.,Neroli Jasmine â€“ No Age â€“ Serum Enriched Hand Cream â€“ 30g_primary.jpg,Neroli Jasmine â€“ No Age â€“ Serum Enriched Hand Cream â€“ 30g_secondary.jpg,https://store.spaceylon.com/product/neroli-jasmine-no-age-serum-enriched-hand-cream-30g/
p98,Neroli Jasmine â€“ Hydrate & Treat Rich Body Butter â€“ 150g,16,mind & body care  body butters/rich body creams,no,"An ultra-rich intensive formula to hydrate & gently illuminate skin, while soothing dryness & related discomfort. Rice Bran & Virgin Coconut combine with Mango & Cocoa Butters help intensively nourish, soften & smoothen rough & dry areas.",Neroli Jasmine â€“ Hydrate & Treat Rich Body Butter â€“ 150g_primary.jpg,,https://store.spaceylon.com/product/neroli-jasmine-hydrate-treat-rich-body-butter-150g/
p99,Neroli Jasmine â€“ Gentle Body Cleanser â€“ 250ml,11,mind & body care  bath & shower,no,A gentle sulphate-free body cleanser with a caring blend of herbs & essential oils.,Neroli Jasmine â€“ Gentle Body Cleanser â€“ 250ml_primary.jpg,,https://store.spaceylon.com/product/neroli-jasmine-gentle-body-cleanser/
p100,Neroli Jasmine â€“ Calming Body Mist â€“ 100ml,12,mind & body care  mind & body,no,A quick drying non-oily natural mist with a blend of herbs & essential to gently pacify the body & mind.,Neroli Jasmine â€“ Calming Body Mist â€“ 100ml_primary.jpg,Neroli Jasmine â€“ Calming Body Mist â€“ 100ml_secondary.jpg,https://store.spaceylon.com/product/neroli-jasmine-calming-body-mist-100ml/
p101,Sleep â€“ Body Milk 250ml,15,mind & body care  body care,yes,"A potent natural blend of essential oils & herbs to promote deep restful sleep. Virgin Coconut & Honey help nourish, moisturize & treat dryness. Sweet Almond milk improves overall skin health & helps maintain a restful sleep.",Sleep â€“ Body Milk 250ml_primary.jpg,Sleep â€“ Body Milk 250ml_secondary.jpg,https://store.spaceylon.com/product/sleep-body-milk-250ml-2/
p102,Sleep Intense â€“ Relaxing Body Cleanser 250ml,15,mind & body care  bath & shower,no,"An intense pacifying & purifying blend of powerful Ayurveda herbs & potent essential oils to promote dreamy restful sleep. Comforting & grounding Neroli Blossom helps wash away daily stress & gently unwind, while exotic Ylang Ylang calms & clarifies mind & body.",Sleep Intense â€“ Relaxing Body Cleanser 250ml_primary.jpg,Sleep Intense â€“ Relaxing Body Cleanser 250ml_secondary.jpg,https://store.spaceylon.com/product/sleep-intense-relaxing-body-cleanser-250ml/
p103,Royal Lotus -Bath & Shower Gel 250ml,21,mind & body care  bath & shower,no,A mild cleansing formula infused with precious herbs & pure essential oils.,Royal Lotus -Bath & Shower Gel 250ml_primary.jpg,Royal Lotus -Bath & Shower Gel 250ml_secondary.jpg,https://store.spaceylon.com/product/royal-lotus-bath-shower-gel-250ml/
