section,name,price,category,description,availability,img_primary,img_secondary,product_url
hair,Virgin Coconut – Hair Treatment Masque 150ml,$18.00 ,DRY HAIR,"A deep penetrating regenerative treatment blended with vitamin-rich Virgin Coconut & Aloe Vera to nourish, hydrate & enhance overall hair wellness.",In Stock,Virgin Coconut – Hair Treatment Masque 150ml_primary.jpg,Virgin Coconut – Hair Treatment Masque 150ml_secondary.jpg,https://store.spaceylon.com/product/virgin-coconut-hair-treatment-masque-150ml/
hair,Sandalwood Vetiver – Nourishing Hair Conditioner – 250ml,$17.00 ,CONDITIONERS,"A complete natural hair repair treatment, blended with vitamin-rich Virgin Coconut & Aloe Vera to help reinforce & restore scalp & hair balance.",Out of stock,Sandalwood Vetiver – Nourishing Hair Conditioner – 250ml_primary.jpg,Sandalwood Vetiver – Nourishing Hair Conditioner – 250ml_secondary.jpg,https://store.spaceylon.com/product/sandalwood-vetiver-nourishing-hair-conditioner-250ml/
hair,Sandalwood Vetiver – Gentle Hair Cleanser – 250ml,$16.00 ,CLEANSER,"A mild sulphate-free natural formula, blended with vitamin-rich Aloe Vera & Virgin Coconut to deep purify hair, remove excess surface oil & improve natural scalp balance.",In Stock,Sandalwood Vetiver – Gentle Hair Cleanser – 250ml_primary.jpg,Sandalwood Vetiver – Gentle Hair Cleanser – 250ml_secondary.jpg,https://store.spaceylon.com/product/sandalwood-vetiver-gentle-hair-cleanser-250ml/
hair,Aloe Vera Watergrass – Nourishing Hair Conditioner – 250ml,$17.00 ,ALOE VERA WATERGRASS,"A complete natural hair repair treatment, blended with vitamin-rich Virgin Coconut & Aloe Vera to help reinforce, strengthen & fortify scalp & hair balance.",Out of stock,Aloe Vera Watergrass – Nourishing Hair Conditioner – 250ml_primary.jpg,Aloe Vera Watergrass – Nourishing Hair Conditioner – 250ml_secondary.jpg,https://store.spaceylon.com/product/aloe-vera-watergrass-nourishing-hair-conditioner-250ml/
hair,Aloe Vera Watergrass – Gentle Hair Cleanser – 250ml,$16.00 ,ALOE VERA WATERGRASS,"A mild sulphate-free natural formula, blended with vitamin-rich Aloe Vera & Virgin Coconut to purify hair & fortify natural scalp balance.",In Stock,Aloe Vera Watergrass – Gentle Hair Cleanser – 250ml_primary.jpg,Aloe Vera Watergrass – Gentle Hair Cleanser – 250ml_secondary.jpg,https://store.spaceylon.com/product/aloe-vera-watergrass-gentle-hair-cleanser-250ml/
hair,Margosa Mint – Medicated Hair Conditioner – 250ml,$17.00 ,CONDITIONERS,"A powerful natural hair repair treatment blended with vitamin-rich Virgin Coconut, Wheatgerm & hydrating Aloe Vera to help nourish, condition & restore natural scalp balance, while Soya & Olive help minimize the feeling of roughness.",In Stock,Margosa Mint – Medicated Hair Conditioner – 250ml_primary.jpg,Margosa Mint – Medicated Hair Conditioner – 250ml_secondary.jpg,https://store.spaceylon.com/product/margosa-mint-medicated-hair-conditioner-250ml/
hair,Margosa Mint – Medicated Hair Cleanser – 250ml,$16.00 ,CLEANSER,"A powerful sulphate-free natural formula, blended with vitamin-rich Virgin Coconut, Sesame & hydrating Aloe Vera to purify hair & restore natural scalp balance.",Out of stock,Margosa Mint – Medicated Hair Cleanser – 250ml_primary.jpg,Margosa Mint – Medicated Hair Cleanser – 250ml_secondary.jpg,https://store.spaceylon.com/product/margosa-mint-medicated-hair-cleanser-250ml/
hair,Pure Aloe – All Seasons Soothing & Hydrating Head To Toe Caring Gel 100ml,$26.00 ,GEL,"Enriched with the natural goodness of pure fresh Aloe Vera from our Community Trade village farmers in the North-western coast of our island home. This oil-free gel instantly blends in, to help soothe & relieve skin & care after harsh exposure to sun, water & cold.",In Stock,Pure Aloe – All Seasons Soothing & Hydrating Head To Toe Caring Gel 100ml_primary.jpg,Pure Aloe – All Seasons Soothing & Hydrating Head To Toe Caring Gel 100ml_secondary.jpg,https://store.spaceylon.com/product/pure-aloe-all-seasons-soothing-hydrating-head-to-toe-caring-gel-100ml/
hair,Sandalwood Vetiver – Hair Conditioner 250ml,$18.00 ,DANDRUFF & OILY SCALP,A total-care conditioner enriched with naturally balancing herbs & fragrant invigorating essential oils to promote overall hair health. Organic fresh Aloe Vera soothes & hydrates.,Out of stock,Sandalwood Vetiver – Hair Conditioner 250ml_primary.jpg,Sandalwood Vetiver – Hair Conditioner 250ml_secondary.jpg,https://store.spaceylon.com/product/sandalwood-vetiver-hair-conditioner-250ml/
hair,Neroli Jasmine – Hair Conditioner 250ml,$18.00 ,DAMAGED & CHEMICALLY TREATED,A total-care conditioner enriched with naturally re-hydrant herbs & fragrant calming essential oils to promote overall hair health.,Out of stock,Neroli Jasmine – Hair Conditioner 250ml_primary.jpg,Neroli Jasmine – Hair Conditioner 250ml_secondary.jpg,https://store.spaceylon.com/product/neroli-jasmine-hair-conditioner-250ml/
